2 weeks ago,2020-10-10 14:17:02 +0300,change infinitecloud logo position
2 weeks ago,2020-10-10 09:39:44 +0300,add ->ofActiveCategory() filter
3 weeks ago,2020-10-08 10:15:42 +0300,حذف لفظ موكا وجملة لأننا نهتم من قسم تنزيل التطبيق
3 weeks ago,2020-10-06 15:00:46 +0300,تعديل محاذاة النص في جزئية الهاتف
3 weeks ago,2020-10-06 14:57:55 +0300,حذف نص من السياسة (لأي استفسار)
3 weeks ago,2020-10-04 10:09:43 +0300,تصغير حجم صورة رابط الموقع
3 weeks ago,2020-10-04 09:45:22 +0300,change syntax of image url
3 weeks ago,2020-10-03 10:39:06 +0300,hide price filter untill prepair it
3 weeks ago,2020-10-03 09:57:09 +0300,إعادة وصف رابط الموقع og:describtion بـ حلويات ومخ
4 weeks ago,2020-10-01 10:38:13 +0300,generate the report
4 weeks ago,2020-10-01 10:10:08 +0300,table design changes
4 weeks ago,2020-09-30 14:27:41 +0300,hide products that has not available prices
4 weeks ago,2020-09-30 14:06:28 +0300,hide un available for order products prices
4 weeks ago,2020-09-30 13:42:15 +0300,change no offer image
4 weeks ago,2020-09-30 11:45:59 +0300,footer changes
4 weeks ago,2020-09-30 10:19:51 +0300,add compressed pics
4 weeks ago,2020-09-30 10:19:22 +0300,add modified pics
4 weeks ago,2020-09-30 09:57:38 +0300,modify footer items positions
4 weeks ago,2020-09-30 09:44:44 +0300,modify text
4 weeks ago,2020-09-30 09:35:04 +0300,add new changes
4 weeks ago,2020-09-29 11:23:07 +0300,*modify slider categories
4 weeks ago,2020-09-29 11:06:41 +0300,*meta og:describtion and og:image +product name