27 minutes ago,2020-10-01 10:10:08 +0300,table design changes
20 hours ago,2020-09-30 14:27:41 +0300,hide products that has not available prices
21 hours ago,2020-09-30 14:06:28 +0300,hide un available for order products prices
21 hours ago,2020-09-30 13:42:15 +0300,change no offer image
23 hours ago,2020-09-30 11:45:59 +0300,footer changes
24 hours ago,2020-09-30 10:19:51 +0300,add compressed pics
24 hours ago,2020-09-30 10:19:22 +0300,add modified pics
25 hours ago,2020-09-30 09:57:38 +0300,modify footer items positions
25 hours ago,2020-09-30 09:44:44 +0300,modify text
25 hours ago,2020-09-30 09:35:04 +0300,add new changes
2 days ago,2020-09-29 11:23:07 +0300,*modify slider categories
2 days ago,2020-09-29 11:06:41 +0300,*meta og:describtion and og:image +product name
7 days ago,2020-09-24 09:33:34 +0300,some remove-ments
11 days ago,2020-09-20 13:45:11 +0300,add branches and make some ui enhancement
12 days ago,2020-09-19 09:54:09 +0300,refactoring
2 weeks ago,2020-09-17 12:01:16 +0300,fix error blade and show categoroise
2 weeks ago,2020-09-17 10:17:57 +0300,where('status', 1)->get()
2 weeks ago,2020-09-14 12:24:47 +0300,add terms and policy
3 weeks ago,2020-09-13 09:51:17 +0300,add new changes
3 weeks ago,2020-09-10 13:49:08 +0300,add image for social meta seo
3 weeks ago,2020-09-10 12:49:43 +0300,remove reset images form main-header
3 weeks ago,2020-09-10 12:11:25 +0300,add new changes
4 weeks ago,2020-09-01 11:24:07 +0300,moheb update